Date,Close,Daily_Volatility
2018-07-06,0.0076115804821852,0.08724437220924454
2018-07-09,0.0187832174814384,0.1370518787957261
2018-07-10,0.0104207740914943,0.10208219282271663
2018-07-11,0.0055533278354883,0.07452065375107964
2018-07-12,0.0021938693994933,0.04683875958534022
2018-07-13,0.0272636603360152,0.16511711097283407
2018-07-16,0.0131731948711016,0.11477453929814574
2018-07-17,0.006674522217392,0.08169774915744007
2018-07-18,0.0025350479039101,0.05034925921907987
2018-07-19,0.0037145380457683,0.06094701014625984
2018-07-20,0.0083755415640393,0.09151798492121262
2018-07-23,0.0054998778262833,0.07416116117135235
2018-07-24,0.0003907102617743,0.019766392229597692
2018-07-25,0.0087942305851509,0.09377755907012562
2018-07-26,0.0032932617679755,0.05738694771440192
2018-07-27,0.0136054568038739,0.11664243140415884
